Freq.	V(vout)
2.00000000000000e+01	9.99880850560354e-01,-4.99978468466934e-03
2.01391110011344e+01	9.99880501570680e-01,-5.03455918009723e-03
2.02791895958006e+01	9.99880147709541e-01,-5.06957551434711e-03
2.04202425141439e+01	9.99879788908940e-01,-5.10483536876526e-03
2.05622765331213e+01	9.99879425099932e-01,-5.14034043637635e-03
2.07052984768276e+01	9.99879056212610e-01,-5.17609242196431e-03
2.08493152168224e+01	9.99878682176091e-01,-5.21209304215381e-03
2.09943336724614e+01	9.99878302918503e-01,-5.24834402549222e-03
2.11403608112276e+01	9.99877918366969e-01,-5.28484711253222e-03
2.12874036490672e+01	9.99877528447599e-01,-5.32160405591488e-03
2.14354692507259e+01	9.99877133085467e-01,-5.35861662045341e-03
2.15845647300886e+01	9.99876732204605e-01,-5.39588658321739e-03
2.17346972505212e+01	9.99876325727982e-01,-5.43341573361769e-03
2.18858740252148e+01	9.99875913577495e-01,-5.47120587349182e-03
2.20381023175322e+01	9.99875495673949e-01,-5.50925881719002e-03
2.21913894413569e+01	9.99875071937043e-01,-5.54757639166184e-03
2.23457427614444e+01	9.99874642285357e-01,-5.58616043654336e-03
2.25011696937762e+01	9.99874206636333e-01,-5.62501280424497e-03
2.26576777059160e+01	9.99873764906264e-01,-5.66413536003979e-03
2.28152743173685e+01	9.99873317010272e-01,-5.70352998215269e-03
2.29739670999407e+01	9.99872862862294e-01,-5.74319856184989e-03
2.31337636781058e+01	9.99872402375067e-01,-5.78314300352919e-03
2.32946717293691e+01	9.99871935460112e-01,-5.82336522481083e-03
2.34566989846376e+01	9.99871462027712e-01,-5.86386715662897e-03
2.36198532285906e+01	9.99870981986900e-01,-5.90465074332377e-03
2.37841423000545e+01	9.99870495245438e-01,-5.94571794273412e-03
2.39495740923786e+01	9.99870001709803e-01,-5.98707072629101e-03
2.41161565538152e+01	9.99869501285164e-01,-6.02871107911152e-03
2.42838976879010e+01	9.99868993875369e-01,-6.07064100009349e-03
2.44528055538414e+01	9.99868479382924e-01,-6.11286250201074e-03
2.46228882668984e+01	9.99867957708972e-01,-6.15537761160909e-03
2.47941539987798e+01	9.99867428753278e-01,-6.19818836970292e-03
2.49666109780323e+01	9.99866892414210e-01,-6.24129683127240e-03
2.51402674904366e+01	9.99866348588715e-01,-6.28470506556146e-03
2.53151318794057e+01	9.99865797172303e-01,-6.32841515617633e-03
2.54912125463853e+01	9.99865238059026e-01,-6.37242920118483e-03
2.56685179512581e+01	9.99864671141457e-01,-6.41674931321629e-03
2.58470566127499e+01	9.99864096310670e-01,-6.46137761956215e-03
2.60268371088387e+01	9.99863513456218e-01,-6.50631626227733e-03
2.62078680771673e+01	9.99862922466116e-01,-6.55156739828213e-03
2.63901582154580e+01	9.99862323226813e-01,-6.59713319946500e-03
2.65737162819303e+01	9.99861715623174e-01,-6.64301585278588e-03
2.67585510957223e+01	9.99861099538459e-01,-6.68921756038030e-03
2.69446715373139e+01	9.99860474854296e-01,-6.73574053966421e-03
2.71320865489535e+01	9.99859841450665e-01,-6.78258702343945e-03
2.73208051350880e+01	9.99859199205867e-01,-6.82975925999999e-03
2.75108363627950e+01	9.99858547996509e-01,-6.87725951323891e-03
2.77021893622186e+01	9.99857887697474e-01,-6.92509006275608e-03
2.78948733270082e+01	9.99857218181897e-01,-6.97325320396653e-03
2.80888975147600e+01	9.99856539321147e-01,-7.02175124820963e-03
2.82842712474620e+01	9.99855850984795e-01,-7.07058652285898e-03
2.84810039119415e+01	9.99855153040594e-01,-7.11976137143305e-03
2.86791049603166e+01	9.99854445354449e-01,-7.16927815370653e-03
2.88785839104500e+01	9.99853727790397e-01,-7.21913924582254e-03
2.90794503464063e+01	9.99853000210575e-01,-7.26934704040546e-03
2.92817139189126e+01	9.99852262475199e-01,-7.31990394667464e-03
2.94853843458221e+01	9.99851514442533e-01,-7.37081239055886e-03
2.96904714125811e+01	9.99850755968862e-01,-7.42207481481145e-03
2.98969849726989e+01	9.99849986908468e-01,-7.47369367912642e-03
3.01049349482215e+01	9.99849207113600e-01,-7.52567146025513e-03
3.03143313302081e+01	9.99848416434442e-01,-7.57801065212388e-03
3.05251841792113e+01	9.99847614719092e-01,-7.63071376595234e-03
3.07375036257604e+01	9.99846801813525e-01,-7.68378333037262e-03
3.09512998708479e+01	9.99845977561569e-01,-7.73722189154931e-03
3.11665831864201e+01	9.99845141804872e-01,-7.79103201330024e-03
3.13833639158702e+01	9.99844294382873e-01,-7.84521627721806e-03
3.16016524745352e+01	9.99843435132771e-01,-7.89977728279269e-03
3.18214593501969e+01	9.99842563889492e-01,-7.95471764753451e-03
3.20427951035850e+01	9.99841680485660e-01,-8.01004000709851e-03
3.22656703688852e+01	9.99840784751564e-01,-8.06574701540912e-03
3.24900958542496e+01	9.99839876515125e-01,-8.12184134478602e-03
3.27160823423114e+01	9.99838955601862e-01,-8.17832568607071e-03
3.29436406907031e+01	9.99838021834861e-01,-8.23520274875397e-03
3.31727818325778e+01	9.99837075034740e-01,-8.29247526110420e-03
3.34035167771350e+01	9.99836115019612e-01,-8.35014597029650e-03
3.36358566101488e+01	9.99835141605055e-01,-8.40821764254282e-03
3.38698124945013e+01	9.99834154604073e-01,-8.46669306322280e-03
3.41053956707185e+01	9.99833153827060e-01,-8.52557503701559e-03
3.43426174575103e+01	9.99832139081765e-01,-8.58486638803255e-03
3.45814892523148e+01	9.99831110173258e-01,-8.64456995995073e-03
3.48220225318452e+01	9.99830066903885e-01,-8.70468861614746e-03
3.50642288526416e+01	9.99829009073238e-01,-8.76522523983561e-03
3.53081198516264e+01	9.99827936478110e-01,-8.82618273419992e-03
3.55537072466630e+01	9.99826848912462e-01,-8.88756402253413e-03
3.58010028371191e+01	9.99825746167379e-01,-8.94937204837916e-03
3.60500185044334e+01	9.99824628031032e-01,-9.01160977566203e-03
3.63007662126867e+01	9.99823494288637e-01,-9.07428018883591e-03
3.65532580091762e+01	9.99822344722413e-01,-9.13738629302097e-03
3.68075060249952e+01	9.99821179111542e-01,-9.20093111414618e-03
3.70635224756151e+01	9.99819997232124e-01,-9.26491769909213e-03
3.73213196614725e+01	9.99818798857138e-01,-9.32934911583471e-03
3.75809099685607e+01	9.99817583756393e-01,-9.39422845358987e-03
3.78423058690241e+01	9.99816351696490e-01,-9.45955882295916e-03
3.81055199217578e+01	9.99815102440771e-01,-9.52534335607646e-03
3.83705647730108e+01	9.99813835749280e-01,-9.59158520675548e-03
3.86374531569941e+01	9.99812551378712e-01,-9.65828755063838e-03
3.89061978964917e+01	9.99811249082368e-01,-9.72545358534533e-03
3.91768119034774e+01	9.99809928610109e-01,-9.79308653062502e-03
3.94493081797347e+01	9.99808589708305e-01,-9.86118962850628e-03
3.97236998174817e+01	9.99807232119790e-01,-9.92976614345056e-03
4.00000000000003e+01	9.99805855583810e-01,-9.99881936250556e-03
4.02782220022691e+01	9.99804459835974e-01,-1.00683525954598e-02
4.05583791916015e+01	9.99803044608203e-01,-1.01383691749981e-02
4.08404850282880e+01	9.99801609628679e-01,-1.02088724568584e-02
4.11245530662430e+01	9.99800154621794e-01,-1.02798658199895e-02
4.14105969536554e+01	9.99798679308093e-01,-1.03513526667093e-02
4.16986304336452e+01	9.99797183404226e-01,-1.04233364228651e-02
4.19886673449230e+01	9.99795666622890e-01,-1.04958205379940e-02
4.22807216224556e+01	9.99794128672775e-01,-1.05688084854851e-02
4.25748072981347e+01	9.99792569258506e-01,-1.06423037627423e-02
4.28709385014521e+01	9.99790988080593e-01,-1.07163098913480e-02
4.31691294601774e+01	9.99789384835365e-01,-1.07908304172287e-02
4.34693945010427e+01	9.99787759214918e-01,-1.08658689108209e-02
4.37717480504299e+01	9.99786110907053e-01,-1.09414289672381e-02
4.40762046350648e+01	9.99784439595217e-01,-1.10175142064398e-02
4.43827788827142e+01	9.99782744958442e-01,-1.10941282734001e-02
4.46914855228892e+01	9.99781026671285e-01,-1.11712748382791e-02
4.50023393875528e+01	9.99779284403764e-01,-1.12489575965940e-02
4.53153554118323e+01	9.99777517821294e-01,-1.13271802693920e-02
4.56305486347374e+01	9.99775726584627e-01,-1.14059466034243e-02
4.59479341998818e+01	9.99773910349781e-01,-1.14852603713213e-02
4.62675273562119e+01	9.99772068767979e-01,-1.15651253717684e-02
4.65893434587387e+01	9.99770201485580e-01,-1.16455454296838e-02
4.69133979692756e+01	9.99768308144012e-01,-1.17265243963964e-02
4.72397064571817e+01	9.99766388379703e-01,-1.18080661498260e-02
4.75682846001093e+01	9.99764441824010e-01,-1.18901745946638e-02
4.78991481847576e+01	9.99762468103152e-01,-1.19728536625547e-02
4.82323131076309e+01	9.99760466838135e-01,-1.20561073122798e-02
4.85677953758023e+01	9.99758437644679e-01,-1.21399395299416e-02
4.89056111076832e+01	9.99756380133149e-01,-1.22243543291487e-02
4.92457765337971e+01	9.99754293908475e-01,-1.23093557512031e-02
4.95883079975600e+01	9.99752178570080e-01,-1.23949478652881e-02
4.99332219560650e+01	9.99750033711801e-01,-1.24811347686570e-02
5.02805349808736e+01	9.99747858921813e-01,-1.25679205868237e-02
5.06302637588117e+01	9.99745653782549e-01,-1.26553094737547e-02
5.09824250927710e+01	9.99743417870621e-01,-1.27433056120610e-02
5.13370359025167e+01	9.99741150756736e-01,-1.28319132131929e-02
5.16941132255002e+01	9.99738852005619e-01,-1.29211365176349e-02
5.20536742176779e+01	9.99736521175927e-01,-1.30109797951025e-02
5.24157361543351e+01	9.99734157820161e-01,-1.31014473447396e-02
5.27803164309163e+01	9.99731761484588e-01,-1.31925434953179e-02
5.31474325638610e+01	9.99729331709145e-01,-1.32842726054367e-02
5.35171021914451e+01	9.99726868027361e-01,-1.33766390637252e-02
5.38893430746282e+01	9.99724369966259e-01,-1.34696472890447e-02
5.42641730979075e+01	9.99721837046270e-01,-1.35633017306930e-02
5.46416102701764e+01	9.99719268781141e-01,-1.36576068686100e-02
5.50216727255904e+01	9.99716664677839e-01,-1.37525672135839e-02
5.54043787244376e+01	9.99714024236462e-01,-1.38481873074598e-02
5.57897466540169e+01	9.99711346950138e-01,-1.39444717233487e-02
5.61777950295205e+01	9.99708632304932e-01,-1.40414250658383e-02
5.65685424949245e+01	9.99705879779743e-01,-1.41390519712048e-02
5.69620078238835e+01	9.99703088846211e-01,-1.42373571076262e-02
5.73582099206338e+01	9.99700258968609e-01,-1.43363451753974e-02
5.77571678209005e+01	9.99697389603746e-01,-1.44360209071456e-02
5.81589006928131e+01	9.99694480200860e-01,-1.45363890680477e-02
5.85634278378257e+01	9.99691530201514e-01,-1.46374544560494e-02
5.89707686916448e+01	9.99688539039489e-01,-1.47392219020848e-02
5.93809428251627e+01	9.99685506140674e-01,-1.48416962702979e-02
5.97939699453983e+01	9.99682430922958e-01,-1.49448824582656e-02
6.02098698964434e+01	9.99679312796121e-01,-1.50487853972214e-02
6.06286626604167e+01	9.99676151161717e-01,-1.51534100522816e-02
6.10503683584231e+01	9.99672945412959e-01,-1.52587614226714e-02
6.14750072515213e+01	9.99669694934609e-01,-1.53648445419539e-02
6.19025997416964e+01	9.99666399102856e-01,-1.54716644782594e-02
6.23331663728408e+01	9.99663057285194e-01,-1.55792263345168e-02
6.27667278317409e+01	9.99659668840310e-01,-1.56875352486860e-02
6.32033049490710e+01	9.99656233117951e-01,-1.57965963939918e-02
6.36429187003943e+01	9.99652749458809e-01,-1.59064149791593e-02
6.40855902071706e+01	9.99649217194389e-01,-1.60169962486509e-02
6.45313407377709e+01	9.99645635646882e-01,-1.61283454829042e-02
6.49801917084997e+01	9.99642004129038e-01,-1.62404679985720e-02
6.54321646846233e+01	9.99638321944036e-01,-1.63533691487633e-02
6.58872813814067e+01	9.99634588385343e-01,-1.64670543232857e-02
6.63455636651562e+01	9.99630802736588e-01,-1.65815289488898e-02
6.68070335542704e+01	9.99626964271422e-01,-1.66967984895146e-02
6.72717132202981e+01	9.99623072253378e-01,-1.68128684465340e-02
6.77396249890031e+01	9.99619125935731e-01,-1.69297443590061e-02
6.82107913414375e+01	9.99615124561356e-01,-1.70474318039221e-02
6.86852349150212e+01	9.99611067362585e-01,-1.71659363964588e-02
6.91629785046302e+01	9.99606953561056e-01,-1.72852637902304e-02
6.96440450636909e+01	9.99602782367570e-01,-1.74054196775437e-02
7.01284577052838e+01	9.99598552981937e-01,-1.75264097896537e-02
7.06162397032534e+01	9.99594264592823e-01,-1.76482398970208e-02
7.11074144933266e+01	9.99589916377596e-01,-1.77709158095699e-02
7.16020056742388e+01	9.99585507502172e-01,-1.78944433769508e-02
7.21000370088674e+01	9.99581037120851e-01,-1.80188284888000e-02
7.26015324253739e+01	9.99576504376158e-01,-1.81440770750041e-02
7.31065160183531e+01	9.99571908398681e-01,-1.82701951059651e-02
7.36150120499911e+01	9.99567248306902e-01,-1.83971885928663e-02
7.41270449512307e+01	9.99562523207032e-01,-1.85250635879410e-02
