time	V(vout)
9.731968750747918e-04	-3.843203e-01
9.780796875747918e-04	-3.761654e-01
9.829625000747917e-04	-3.675320e-01
9.878453125747916e-04	-3.584072e-01
9.927281250747915e-04	-3.487803e-01
9.976109375747914e-04	-3.386434e-01
1.002493750074791e-03	-3.279914e-01
1.007376562574791e-03	-3.168222e-01
1.012259375074791e-03	-3.051366e-01
1.017142187574791e-03	-2.929383e-01
1.022025000074791e-03	-2.802338e-01
1.026907812574791e-03	-2.670319e-01
1.031790625074791e-03	-2.533440e-01
1.036673437574791e-03	-2.391834e-01
1.041556250074790e-03	-2.245651e-01
1.046439062574790e-03	-2.095057e-01
1.051321875074790e-03	-1.940231e-01
1.056204687574790e-03	-1.781362e-01
1.061087500074790e-03	-1.618648e-01
1.065970312574790e-03	-1.452294e-01
1.070853125074790e-03	-1.282510e-01
1.075735937574790e-03	-1.109511e-01
1.080618750074790e-03	-9.335146e-02
1.085501562574789e-03	-7.547423e-02
1.095267187574789e-03	-3.897632e-02
1.100150000074789e-03	-2.040068e-02
1.105032812574789e-03	-1.637429e-03
1.109915625074789e-03	1.729069e-02
1.119681250074789e-03	5.555044e-02
1.124564062574789e-03	7.483646e-02
1.129446875074789e-03	9.419610e-02
1.134329687574788e-03	1.136065e-01
1.139212500074788e-03	1.330446e-01
1.144095312574788e-03	1.524873e-01
1.148978125074788e-03	1.719111e-01
1.153860937574788e-03	1.912923e-01
1.158743750074788e-03	2.106060e-01
1.163626562574788e-03	2.298266e-01
1.168509375074788e-03	2.489262e-01
1.173392187574788e-03	2.678745e-01
1.178275000074788e-03	2.866369e-01
1.183157812574787e-03	3.051726e-01
1.188040625074787e-03	3.234324e-01
1.192923437574787e-03	3.413547e-01
1.197806250074787e-03	3.588617e-01
1.202689062574787e-03	3.758548e-01
1.207571875074787e-03	3.922099e-01
1.212454687574787e-03	4.077758e-01
1.217337500074787e-03	4.223766e-01
1.222220312574787e-03	4.358221e-01
1.227103125074786e-03	4.479279e-01
1.231985937574786e-03	4.585432e-01
1.241751562574786e-03	4.750329e-01
1.246634375074786e-03	4.809837e-01
1.251517187574786e-03	4.855850e-01
1.256400000074786e-03	4.890324e-01
1.261282812574786e-03	4.915335e-01
1.266165625074786e-03	4.932835e-01
1.271048437574786e-03	4.944504e-01
1.275931250074785e-03	4.951697e-01
1.280814062574785e-03	4.955455e-01
1.285696875074785e-03	4.956551e-01
1.290579687574785e-03	4.955541e-01
1.295462500074785e-03	4.952818e-01
1.300345312574785e-03	4.948654e-01
