Freq.	V(vout)
2.00000000000000e+01	9.20298586761036e-01,-2.61579810792978e-01
2.01391110011344e+01	9.19339285165641e-01,-2.63124679942675e-01
2.02791895958006e+01	9.18368632049740e-01,-2.64675113251174e-01
2.04202425141439e+01	9.17386519663434e-01,-2.66231059356864e-01
2.05622765331213e+01	9.16392839925940e-01,-2.67792465224478e-01
2.07052984768276e+01	9.15387484444746e-01,-2.69359276122279e-01
2.08493152168224e+01	9.14370344535380e-01,-2.70931435599269e-01
2.09943336724614e+01	9.13341311241813e-01,-2.72508885462434e-01
2.11403608112276e+01	9.12300275357502e-01,-2.74091565754038e-01
2.12874036490672e+01	9.11247127447071e-01,-2.75679414728992e-01
2.14354692507259e+01	9.10181757868650e-01,-2.77272368832294e-01
2.15845647300886e+01	9.09104056796878e-01,-2.78870362676557e-01
2.17346972505212e+01	9.08013914246574e-01,-2.80473329019656e-01
2.18858740252148e+01	9.06911220097082e-01,-2.82081198742490e-01
2.20381023175322e+01	9.05795864117311e-01,-2.83693900826878e-01
2.21913894413569e+01	9.04667735991459e-01,-2.85311362333617e-01
2.23457427614444e+01	9.03526725345442e-01,-2.86933508380700e-01
2.25011696937762e+01	9.02372721774027e-01,-2.88560262121731e-01
2.26576777059160e+01	9.01205614868680e-01,-2.90191544724534e-01
2.28152743173685e+01	9.00025294246133e-01,-2.91827275349984e-01
2.29739670999407e+01	8.98831649577680e-01,-2.93467371131084e-01
2.31337636781058e+01	8.97624570619199e-01,-2.95111747152289e-01
2.32946717293691e+01	8.96403947241910e-01,-2.96760316429118e-01
2.34566989846376e+01	8.95169669463886e-01,-2.98412989888048e-01
2.36198532285906e+01	8.93921627482295e-01,-3.00069676346736e-01
2.37841423000545e+01	8.92659711706405e-01,-3.01730282494568e-01
2.39495740923786e+01	8.91383812791332e-01,-3.03394712873567e-01
2.41161565538152e+01	8.90093821672559e-01,-3.05062869859682e-01
2.42838976879010e+01	8.88789629601202e-01,-3.06734653644467e-01
2.44528055538414e+01	8.87471128180049e-01,-3.08409962217188e-01
2.46228882668984e+01	8.86138209400357e-01,-3.10088691347372e-01
2.47941539987798e+01	8.84790765679420e-01,-3.11770734567817e-01
2.49666109780323e+01	8.83428689898903e-01,-3.13455983158097e-01
2.51402674904366e+01	8.82051875443941e-01,-3.15144326128577e-01
2.53151318794057e+01	8.80660216243008e-01,-3.16835650204959e-01
2.54912125463853e+01	8.79253606808552e-01,-3.18529839813401e-01
2.56685179512581e+01	8.77831942278390e-01,-3.20226777066207e-01
2.58470566127499e+01	8.76395118457877e-01,-3.21926341748137e-01
2.60268371088387e+01	8.74943031862823e-01,-3.23628411303352e-01
2.62078680771673e+01	8.73475579763170e-01,-3.25332860823015e-01
2.63901582154580e+01	8.71992660227428e-01,-3.27039563033582e-01
2.65737162819303e+01	8.70494172167846e-01,-3.28748388285812e-01
2.67585510957223e+01	8.68980015386337e-01,-3.30459204544510e-01
2.69446715373139e+01	8.67450090621132e-01,-3.32171877379041e-01
2.71320865489535e+01	8.65904299594158e-01,-3.33886269954636e-01
2.73208051350880e+01	8.64342545059148e-01,-3.35602243024524e-01
